Optimisation Analysis 
============================ 

Objective: 		MaxENB
Objective: 		MinRisk
SolutionSpace: 			6912
Evaluated: 			6912
Shortlisted: 			16
Runtime(s): 			74

ID	Location Finding	File Sharing	Report Syncing	Chat Protocol	Map Access	Hardware Platform	Connectivity	Database	Architectural Pattern	Data Exchange Format	ENB	Risk	Optimal
35	radio triangulation	In house	Explicit	XMPP (Open Fire)	Cache on server	Droid (Motorola)	3G on Nexus I	sqLite	Peer-to-peer	Unformatted data	13.313919398262172	1.0	No
36	GPS	OpenIntent	Implicit	XMPP (Open Fire)	On Demand (Google)	Nexus I (HTC)	Bluetooth	sqLite	Peer-to-peer	Compressed XML	13.170199381683473	1.0	No
37	GPS	In house	Implicit	In house	Cache on server	Droid (Motorola)	Wifi	sqLite	Client-Server	Compressed XML	14.408219046614269	1.0	No
38	GPS	In house	Implicit	XMPP (Open Fire)	On Demand (Google)	Nexus I (HTC)	Bluetooth	MySQL	Client-Server	Unformatted data	13.16298499737018	1.0	No
39	radio triangulation	In house	Explicit	In house	Preloaded (ESRI)	Droid (Motorola)	Wifi	sqLite	Client-Server	Compressed XML	14.535940000000808	0.9778	No
40	GPS	OpenIntent	Implicit	In house	Preloaded (ESRI)	Nexus I (HTC)	3G on Nexus I	MySQL	Push-based	Compressed XML	14.744145534303497	0.9992	No
41	GPS	OpenIntent	Implicit	XMPP (Open Fire)	On Demand (Google)	Nexus I (HTC)	Bluetooth	sqLite	Push-based	XML	13.296124323579523	1.0	No
42	radio triangulation	In house	Implicit	In house	Preloaded (ESRI)	Nexus I (HTC)	3G on Droid	MySQL	Push-based	Compressed XML	14.75198220742444	0.8438	No
43	radio triangulation	In house	Explicit	XMPP (Open Fire)	On Demand (Google)	Droid (Motorola)	Bluetooth	sqLite	Push-based	Unformatted data	12.472191967416839	1.0	No
44	radio triangulation	In house	Implicit	XMPP (Open Fire)	Cache on server	Nexus I (HTC)	3G on Droid	sqLite	Push-based	Unformatted data	14.280465543644238	1.0	No
45	GPS	In house	Implicit	In house	On Demand (Google)	Droid (Motorola)	Wifi	sqLite	Push-based	Unformatted data	12.645193082510366	1.0	No
46	radio triangulation	OpenIntent	Explicit	In house	On Demand (Google)	Nexus I (HTC)	3G on Nexus I	MySQL	Peer-to-peer	Unformatted data	12.480924607931353	1.0	No
47	radio triangulation	In house	Implicit	In house	On Demand (Google)	Nexus I (HTC)	3G on Droid	MySQL	Peer-to-peer	XML	12.87284778781345	1.0	No
48	radio triangulation	OpenIntent	Implicit	In house	On Demand (Google)	Droid (Motorola)	3G on Droid	sqLite	Push-based	Unformatted data	13.726362654360686	1.0	No
49	GPS	OpenIntent	Implicit	XMPP (Open Fire)	On Demand (Google)	Nexus I (HTC)	3G on Nexus I	MySQL	Push-based	Compressed XML	13.41740621277712	1.0	No
50	radio triangulation	In house	Implicit	In house	Cache on server	Nexus I (HTC)	3G on Droid	MySQL	Client-Server	Compressed XML	14.770650868015666	1.0	No
51	radio triangulation	In house	Explicit	XMPP (Open Fire)	On Demand (Google)	Droid (Motorola)	3G on Droid	MySQL	Client-Server	XML	13.210342331402039	1.0	No
52	GPS	OpenIntent	Implicit	In house	Preloaded (ESRI)	Nexus I (HTC)	3G on Droid	MySQL	Push-based	XML	14.83053788835199	0.9994	No
53	GPS	OpenIntent	Implicit	In house	Preloaded (ESRI)	Droid (Motorola)	Bluetooth	sqLite	Client-Server	Unformatted data	15.208462069345327	1.0	No
54	radio triangulation	In house	Explicit	In house	Cache on server	Droid (Motorola)	3G on Nexus I	MySQL	Client-Server	XML	13.930029664529728	1.0	No
55	radio triangulation	In house	Explicit	In house	Preloaded (ESRI)	Droid (Motorola)	3G on Nexus I	MySQL	Push-based	XML	13.911361003938504	0.8241	No
