,system type,ENB,LP,Optimal
1,Legacy,1.0002933690850828,0.0,Yes
2,New,2.0498447627951246,0.2247,Yes
3,New,2.0498447627951246,0.2247,Yes
4,New,2.0498447627951246,0.2247,Yes

