,Building entry security,Document Sharing Policy,ExpectedCostOfDisclosures,RiskOfCatastrophicDisclosures,Optimal
1,not guarded,Recommend Email,904.3333780222446,0.0,Yes
3,guarded,Neutral,2967.1445676832222,0.0,No
4,guarded,Recommend Email,910.857451561977,0.0,No
5,guarded,Recommend External Media,1068941.330654955,0.3126,No
